특히 김병현 은 4 회 말 에 무 기력 하 게 6 실점 하 면서	O B-PS O O O O O O O O O O O O O
빅비 가 2 루 도루 를 시도 하 다 아웃 됐 고	B-PS O O O O O O O O O O O
서호프 와 파사노 에게 연속 안타 를 내주 며	B-PS O B-PS O O O O O O
우리 금융 그룹 은 19 일 지난주 부터 네덜란드 프로 축구 에인트호벤 의 미드필더 박지성 과 미국 프로 야구 텍사스 레인저스 의 투수 박찬호 를 모델 로 기용 , 공중파 텔레비전 을 통해 광고 를 재개 했 다고 밝혔 다 .	B-OG I-OG I-OG O B-DT I-DT B-DT I-DT B-LC O O B-OG O O B-PS O B-LC O O B-OG I-OG O O B-PS O O O O O O O O O O O O O O O O O
새미 소사 ( 36 . 볼티모어 오리올스 ) 가 은퇴 한 ' 홈런왕 ' 마크 맥과이어 ( 전 세이트루이스 카디널스 ) 와 개인 통산 홈런 타이 를 이뤘 다 .	B-PS I-PS O O O B-OG I-OG O O O O O O O B-PS I-PS O O B-OG I-OG O O O O O O O O O O
0 ... 프로 야구 두산 의 에이스 박명환 이 19 일 잠실구장 에서 열린 한화 와 의 홈경기 에 양배추 더미 를 모자 속 에 쓰 고 투구 해 눈길 을 끌 었 다 .	O O O O B-OG O O B-PS O B-DT I-DT O O O B-OG O O O O O O O O O O O O O O O O O O O O
프랭크 로빈슨 감독 , " 김선우 정말 잘 던졌 다 "	B-PS I-PS O O O B-PS O O O O O
김선우 의 투구 내용 을 칭찬 하 며 " 승리 투수 가 될 자격 이 충분히 있 었 지만 공 을 쥘 수 없 는 상황 이 었 고 모험 을 걸 수 없 어 하 는 수 없이 교체 했 다 " 고 5 회 갑작스런 팔 근육통 에 대한 아쉬움 을 감추 지 않 았 다 .	B-PS O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
6 연승 을 달리 며 지구 2 위 보스턴 과 의 승차 를 2 게임 으로 좁혔 다 .	O O O O O O O O B-OG O O O O O O O O O O
서재응 , 마이너 리그 2 패 째	B-PS O B-OG I-OG O O O
산타나 , 올 시즌 최소 탈삼진	B-PS O B-DT I-DT O O
내셔널 리그 서부 지구 1 위 팀 샌디에이고 는 0 - 1 로 뒤지 던 6 회 데이브 로버츠 의 솔로포 로 동점 을 만든 뒤 7 회 2 사 만루 에서 데미언 잭슨 의 좌선 상 싹쓸이 2 루 타 로 산타나 를 마운드 에서 끌어내렸 다 . 샌디에이고 의 5 - 1 승 .	B-OG I-OG B-OG I-OG O O O B-OG O O O O O O O O O B-PS I-PS O O O O O O O O O O O O O B-PS I-PS O O O O O O O O B-PS O O O O O O B-OG O O O O O O
정수근 은 이 로써 지난달 17 일 투표 를 시작 한 이후 5 주 연속 으로 중간 집계 선두 를 지켰 다 .	B-PS O O O B-DT I-DT I-DT O O O O O B-DT I-DT O O O O O O O O O
박용택 , 거포 본색 ` 시동 '	B-PS O O O O O O
타구단 의 이대호 ( 롯데 . 13 개 ) , 심정수 ( 삼성 . 12 개 ) 등 4 번 타자 들 은 최소 10 개 이상 의 홈런 포 를 터트려 중심 타선 에 무게감 을 실 어 주 고 있 지만 박용택 의 경우 는 그렇 지 못하 다 .	O O B-PS O B-OG O O O O O B-PS O B-OG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PS O O O O O O O O
경성대 가 제 60 회 전국 대학 야구 선수권 대회 에서 15 년 만 에 정상 에 복귀 했 다 .	B-OG O O O O O O O O O O B-DT I-DT O O O O O O O O
